id,per_square_meter_price
COL_289284,41477.55541934195
COL_289305,40571.18024144665
COL_289318,38224.63493986012
COL_289354,102691.7505763316
COL_289399,52314.11998626119
COL_289428,46884.279970657444
COL_289460,53098.886859004706
COL_289493,60245.864843137206
COL_289495,54037.01491242237
COL_289749,51332.01280728012
COL_289763,170536.52520686918
COL_289778,62412.240470696604
COL_289801,34024.15002349617
COL_289971,37780.606627314235
COL_290143,55605.71281024956
COL_290169,76666.07362647454
COL_290252,28865.864637191113
COL_290336,29278.08309378243
COL_290398,36887.52660212469
COL_290403,39908.146786378915
COL_290431,32937.175762697305
COL_290466,52513.065362268775
COL_290486,51699.53662829688
COL_290497,31057.288617632257
COL_290510,48832.06931962834
COL_290559,44749.39768546275
COL_290600,66614.05456916014
COL_290602,71639.96590799543
COL_290716,44421.024617259965
COL_290717,25142.7440811413
COL_290876,47010.92971189102
COL_290966,32578.275942485237
COL_291008,38134.99930662541
COL_291021,131897.1256480511
COL_291043,73408.22915586541
COL_291190,57667.58503239541
COL_291192,47710.81758053268
COL_291274,43170.15155125688
COL_291284,79712.9168333976
COL_291397,34831.007333753674
COL_291450,70176.21010041103
COL_291738,69435.5914558422
COL_291740,34283.71733155763
COL_291825,35587.526424447584
COL_291900,46711.45414102563
COL_292045,77201.68031698721
COL_292135,46936.22183272773
COL_292258,42812.6398239869
COL_292275,26922.236034297704
COL_292279,58239.74820602215
COL_292364,51310.49672160205
COL_292417,34978.429813563205
COL_292421,49806.89282576845
COL_292501,50999.45311280219
COL_292654,79729.80384492638
COL_292906,62524.87922734047
COL_292926,28574.72463951091
COL_293123,51048.37235849458
COL_293135,35230.48729729876
COL_293496,48227.43569595591
COL_293497,48941.60997943998
COL_293588,154118.69515374527
COL_293614,127506.57918157542
COL_293631,84743.09642531871
COL_293703,33770.93871774698
COL_293773,30808.613991902792
COL_293780,50138.86457219544
COL_293783,32814.25975770151
COL_293826,39963.51685953572
COL_293889,90061.93823000262
COL_293952,56135.70807659331
COL_293956,34218.98104791085
COL_294068,73364.55162264316
COL_294101,55199.645673011444
COL_294115,43700.118755965435
COL_294143,41334.870381805784
COL_294200,36721.497773491676
COL_294245,30073.423801327277
COL_294261,29245.15977645092
COL_294293,60540.838803668295
COL_294300,58613.20435993312
COL_294350,49117.56174377617
COL_294488,52554.02298122158
COL_294525,60747.466222055875
COL_294553,42232.78509547897
COL_294558,48480.632700660426
COL_294593,42782.32479722235
COL_294691,53934.26178547392
COL_294716,26599.64809732984
COL_294729,53197.97460358433
COL_294785,65751.01960957496
COL_294917,71529.71409501435
COL_294951,36072.660741034255
COL_294975,44657.4247487895
COL_295255,29119.213825842846
COL_295327,22365.213760441162
COL_295509,37689.49211517518
COL_295595,60780.77841599362
COL_296322,39805.266271046996
COL_296509,30405.888254758644
COL_296521,184460.23766624142
COL_296756,31454.19779425537
COL_296901,54297.788350594565
COL_297293,35745.570204790274
COL_297324,40738.283758635764
COL_297326,58939.94194106844
COL_297329,36649.897527566674
COL_297441,35198.0214714733
COL_297472,39442.56744816418
COL_297631,67261.3097038083
COL_297815,94653.59229066139
COL_298020,36547.31926250065
COL_298046,63520.2723324948
COL_298052,43444.08318976181
COL_298055,102732.47566170596
COL_298064,57809.394024624875
COL_298075,70282.39520233682
COL_298099,42224.072920915525
COL_298101,73548.90848723982
COL_298102,46728.93923914538
COL_298103,33807.1791492482
